city,area,latitude,longitude,pincode,aqi,wqi,wqi_category,congestion,local_congestion,hdi_rank,sqft_price,supermarket,store,park,playground,hospital,school,library,voter_turnout,livability_score
Bengaluru,Parasina Palya,12.8,77.436979,,18,89.37314815,Very Poor,1.521384,1.014714273,24,6.4,0,0,2,1,0,1,1,53.38,6.048518941
Bengaluru,Malle Nalsandra,12.8,77.603387,,68,89.37314815,Very Poor,1.521384,1.072190419,24,10.92,0,15,4,2,0,2,6,53.38,9.082277747
Bengaluru,Koppa Gate,12.8,77.621877,,68,89.37314815,Very Poor,1.521384,1.119053122,24,4,1,2,5,1,6,5,6,53.38,10.11028965
Bengaluru,Nanjapura,12.8,77.640367,,93,89.37314815,Very Poor,1.521384,1.106785612,24,8.06,0,1,6,0,0,1,7,53.38,7.024409625
Bengaluru,Bommasandra Industrial Area,12.8,77.658856,,93,89.37314815,Very Poor,1.521384,1.270401763,24,7.5,1,10,5,0,5,4,5,53.38,9.276230325
Bengaluru,RK Township,12.8,77.677346,,93,89.37314815,Very Poor,1.521384,1.254124554,24,4.28,0,1,14,0,1,15,2,53.38,11.05901162
Bengaluru,Terracon Doctors Enclave,12.8,77.714325,,112,89.37314815,Very Poor,1.521384,1.174077858,24,7.53,2,29,3,3,13,29,2,54.16,18.00551082
Bengaluru,Guddahatti,12.8,77.732815,,112,89.37314815,Very Poor,1.521384,1.098698389,24,9.19,1,1,7,1,1,5,3,54.16,9.150920035
Bengaluru,KHB 3rd Phase,12.8,77.751305,,112,89.37314815,Very Poor,1.521384,1.001939467,24,8.94,0,0,4,0,1,0,3,54.16,5.768057582
Bengaluru,Jigala,12.8,77.769795,,112,89.37314815,Very Poor,1.521384,1.102954225,24,9.91,0,0,3,2,0,0,2,54.16,6.933625134
Bengaluru,Bidaraguppe,12.8,77.788284,,112,89.37314815,Very Poor,1.521384,1.063139257,24,5.22,1,1,0,0,1,5,2,54.16,6.18667353
Bengaluru,Chinnakurchi,12.818018,77.473959,,55,89.37314815,Very Poor,1.521384,0.980320279,24,11.32,0,0,3,0,0,1,7,53.38,6.109660931
